experiment_type,candidate_value,preprocessing,learning_rate,batch_size,max_epochs,patience,epochs_run,best_epoch,class_weight,dropout_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_class0_recall,val_class1_prediabetes_recall,val_class2_diabetes_recall,training_time_seconds,time_per_epoch_seconds,seed
scaling,none,none,0.001,512,5,2,5,5,none,0.0,0.40520691871643066,0.8457449078559875,0.35098664993096323,0.40576013922691345,0.8457899689674377,0.47400406394570993,0.35507551289204664,0.34865372669329725,0.9918579985026205,0.0,0.07336854017351943,6.241313600000012,1.2482627200000025,42
scaling,standard,standard,0.001,512,5,2,5,5,none,0.0,0.4074550271034241,0.8461053371429443,0.36477225315932377,0.40804243087768555,0.845684826374054,0.4646554439657888,0.3633767902273122,0.3630451756753666,0.9867731469927626,0.0,0.1033572236891739,5.767736199999945,1.1535472399999889,42
learning_rate,0.0001,standard,0.0001,512,6,2,6,6,none,0.0,0.4298073351383209,0.842878520488739,0.34404196989504093,0.4317089915275574,0.8428203463554382,0.4461285826666625,0.3518016503308321,0.3434272176585667,0.989580733715997,0.0,0.06582421727649944,7.794131200000265,1.2990218666667108,42
learning_rate,0.0003,standard,0.0003,512,6,2,6,6,none,0.0,0.41559040546417236,0.8438358902931213,0.35842813889781894,0.41725319623947144,0.8434773683547974,0.4500849318599185,0.35972236173142375,0.35723037378737393,0.9858060893436487,0.0,0.09336099585062241,7.782705999999962,1.2971176666666604,42
learning_rate,0.001,standard,0.001,512,6,2,6,6,none,0.0,0.4059801399707794,0.8460434079170227,0.3892272194674929,0.40623578429222107,0.8460001945495605,0.45938879765246327,0.3799249598441003,0.3875669208466043,0.9773833291739455,0.0,0.16239155035835534,7.630449300000237,1.2717415500000395,42
learning_rate,0.003,standard,0.003,512,6,2,6,6,none,0.0,0.398925244808197,0.847721517086029,0.393967097389345,0.3991505205631256,0.8472878932952881,0.46450274590896873,0.38363520901794174,0.39271383727468184,0.9770089842775144,0.0,0.17389664277631084,7.703179000000091,1.2838631666666818,42
learning_rate,0.01,standard,0.01,512,6,2,6,6,none,0.0,0.3974910378456116,0.848712682723999,0.39718315329559234,0.39810991287231445,0.8491012454032898,0.47114251395596957,0.38660895159235203,0.39687933042185936,0.9778200648864487,0.0,0.1820067898906073,7.561974600000212,1.2603291000000354,42
learning_rate,0.03,standard,0.03,512,6,2,6,6,none,0.0,0.3977015018463135,0.849022388458252,0.3766418136390588,0.3980386555194855,0.84734046459198,0.47266664961338273,0.3683345066227149,0.3708871756352925,0.9861804342400798,0.0,0.11882308562806489,7.323901199999909,1.2206501999999848,42
batch_size,256,standard,0.01,256,5,2,5,4,none,0.0,0.39786720275878906,0.8487971425056458,0.3818264015329347,0.39813825488090515,0.8482602834701538,0.47357764568623545,0.37368318742213696,0.3789940334927438,0.9843087097579236,0.0,0.13674085250848736,9.470176100000117,1.8940352200000234,42
batch_size,512,standard,0.01,512,5,2,5,5,none,0.0,0.39904963970184326,0.8484705090522766,0.3993325288077197,0.39981669187545776,0.848181426525116,0.46674210256036397,0.3872419520397333,0.3974631957568351,0.9761355128525081,0.0,0.18559034326669183,6.646129100000053,1.3292258200000107,42
batch_size,1024,standard,0.01,1024,5,2,5,5,none,0.0,0.39929407835006714,0.8486563563346863,0.3868282111469264,0.3996120095252991,0.8483653664588928,0.471294234063119,0.377765039685517,0.3848706203047401,0.9820314449713002,0.0,0.15126367408525085,5.413356799999747,1.0826713599999493,42
batch_size,2048,standard,0.01,2048,5,2,5,5,none,0.0,0.40197476744651794,0.8473104238510132,0.3586299472652133,0.40255007147789,0.8461053371429443,0.473422746442479,0.3581386642594622,0.35408854190588257,0.9904854005490392,0.0,0.08393059222934741,4.260177600000134,0.8520355200000267,42
class_weight,none,standard,0.01,512,5,2,5,5,none,0.0,0.39904963970184326,0.8484705090522766,0.3993325288077197,0.39981669187545776,0.848181426525116,0.46674210256036397,0.3872419520397333,0.3974631957568351,0.9761355128525081,0.0,0.18559034326669183,6.646129100000053,1.3292258200000107,42
class_weight,balanced_inverse_frequency,standard,0.01,512,5,2,5,5,balanced_inverse_frequency,0.0,0.7610107064247131,0.6950657963752747,0.44172049789168927,0.7623946070671082,0.6936297416687012,0.4500322630158852,0.5061190353238837,0.4398642046550049,0.7300661342650362,0.2579250720461095,0.5303658996605055,6.81241239999963,1.362482479999926,42
