experiment_type,candidate_value,tuning_stage,train_source,epochs_run,best_epoch,max_epochs,patience,learning_rate,batch_size,augmentation,dropout_rate,train_loss_last,train_accuracy_last,val_loss,val_accuracy,val_macro_f1,training_time_seconds,time_per_epoch_seconds,seed
learning_rate,1e-05,A_coarse,stratified_train_subset_2000,4,4,4,2,1e-05,64,False,0.0,2.300785541534424,0.16750000417232513,2.300858736038208,0.14716050028800964,0.0492736449418477,9.89203389999966,2.473008474999915,42
learning_rate,3e-05,A_coarse,stratified_train_subset_2000,4,4,4,2,3e-05,64,False,0.0,2.295405387878418,0.10000000149011612,2.2948203086853027,0.09259258955717087,0.01694915254237288,63.30842140000095,15.827105350000238,42
learning_rate,0.0001,A_coarse,stratified_train_subset_2000,4,4,4,2,0.0001,64,False,0.0,2.2667322158813477,0.10000000149011612,2.260462999343872,0.09259258955717087,0.01694915254237288,69.32469949999722,17.331174874999306,42
learning_rate,0.0003,A_coarse,stratified_train_subset_2000,4,4,4,2,0.0003,64,False,0.0,2.1114368438720703,0.20350000262260437,2.0583317279815674,0.2696296274662018,0.15502295691810955,70.9128735000013,17.728218375000324,42
learning_rate,0.001,A_coarse,stratified_train_subset_2000,4,4,4,2,0.001,64,False,0.0,1.7423415184020996,0.33500000834465027,1.7104412317276,0.33975309133529663,0.26885195634966064,65.11700150000252,16.27925037500063,42
learning_rate,0.003,A_coarse,stratified_train_subset_2000,4,4,4,2,0.003,64,False,0.0,1.7062147855758667,0.32249999046325684,1.703260898590088,0.3190123438835144,0.24073836303010224,56.864015899998776,14.216003974999694,42
learning_rate,0.01,A_coarse,stratified_train_subset_2000,4,4,4,2,0.01,64,False,0.0,1.7762199640274048,0.30399999022483826,1.6973717212677002,0.33308643102645874,0.2710309035030362,42.16276719999951,10.540691799999877,42
learning_rate,0.01,B_confirmation,full_train_split,8,6,8,3,0.01,64,False,0.0,0.6811721324920654,0.7506349086761475,0.7428746223449707,0.7214815020561218,0.7060633573666316,556.8906515000017,69.61133143750021,42
learning_rate,0.001,B_confirmation,full_train_split,8,8,8,3,0.001,64,False,0.0,0.8856300711631775,0.6790476441383362,0.9102571606636047,0.6711111068725586,0.6536497355020588,637.3794498999996,79.67243123749995,42
batch_size,16,full_train_comparison,full_train_split,6,6,6,2,0.01,16,False,0.0,0.7636974453926086,0.723121702671051,0.7440199851989746,0.724197506904602,0.7090257863669404,438.0094543000014,73.00157571666689,42
batch_size,32,full_train_comparison,full_train_split,6,6,6,2,0.01,32,False,0.0,0.8329297304153442,0.6919576525688171,0.795091986656189,0.7108641862869263,0.6877469559642722,333.08264059999783,55.51377343333297,42
batch_size,64,full_train_comparison,full_train_split,6,6,6,2,0.01,64,False,0.0,0.780890166759491,0.7154497504234314,0.7428746223449707,0.7214815020561218,0.7060633573666316,386.7598700999988,64.4599783499998,42
batch_size,128,full_train_comparison,full_train_split,6,5,6,2,0.01,128,False,0.0,0.8530933260917664,0.6874074339866638,0.8060958981513977,0.7108641862869263,0.695697724240905,412.1691845999994,68.6948640999999,42
augmentation,conservative_flip_rotation,full_train_comparison,full_train_split,6,5,6,2,0.01,16,True,0.0,0.928259015083313,0.6587830781936646,0.9360121488571167,0.6612345576286316,0.6347549296075454,552.497946800002,92.08299113333366,42
