experiment_type,candidate_value,tuning_stage,train_source,resolution,learning_rate,batch_size,max_epochs,patience,epochs_run,best_epoch,augmentation,dropout_rate,train_loss_last,train_accuracy_last,val_loss,val_accuracy,val_macro_f1,training_time_seconds,time_per_epoch_seconds,seed
resolution,96,A_subset_screening,stratified_train_subset_555,96,0.001,32,3,1,3,3,False,0.0,3.610387086868286,0.028828829526901245,3.61016583442688,0.036684781312942505,0.011234475366160242,34.19189849999998,11.397299499999994,42
resolution,128,A_subset_screening,stratified_train_subset_555,128,0.001,32,3,1,3,3,False,0.0,3.6104013919830322,0.02522522583603859,3.609917640686035,0.03125,0.006964605883524802,56.06006029999992,18.68668676666664,42
resolution,160,A_subset_screening,stratified_train_subset_555,160,0.001,32,3,1,3,3,False,0.0,3.6101930141448975,0.019819820299744606,3.6099226474761963,0.03125,0.008187649763463539,63.2090316,21.0696772,42
resolution,96,B_full_train_confirmation,full_train_split,96,0.001,32,4,1,4,4,False,0.0,3.5753650665283203,0.03974184766411781,3.571889877319336,0.05298912897706032,0.019054901879662123,123.06100159999994,30.765250399999985,42
resolution,160,B_full_train_confirmation,full_train_split,160,0.001,32,4,1,4,4,False,0.0,3.576493740081787,0.039402175694704056,3.563398838043213,0.04619565233588219,0.015688089823698854,254.20823610000002,63.552059025000005,42
learning_rate,0.0001,A_subset_screening,stratified_train_subset_555,96,0.0001,32,3,1,3,3,False,0.0,3.6111953258514404,0.027027027681469917,3.6107513904571533,0.025815216824412346,0.0013603006980490424,29.763093700000127,9.921031233333375,42
learning_rate,0.0003,A_subset_screening,stratified_train_subset_555,96,0.0003,32,3,1,3,3,False,0.0,3.6106417179107666,0.027027027681469917,3.6104507446289062,0.025815216824412346,0.0013657274295572168,15.40254660000005,5.134182200000017,42
learning_rate,0.001,A_subset_screening,stratified_train_subset_555,96,0.001,32,3,1,3,3,False,0.0,3.610387086868286,0.028828829526901245,3.61016583442688,0.036684781312942505,0.011234475366160242,31.716148599999997,10.572049533333333,42
learning_rate,0.003,A_subset_screening,stratified_train_subset_555,96,0.003,32,3,1,3,3,False,0.0,3.6106579303741455,0.02342342399060726,3.609384059906006,0.021739130839705467,0.004337471442734601,28.070480999999972,9.35682699999999,42
learning_rate,0.01,A_subset_screening,stratified_train_subset_555,96,0.01,32,3,1,3,3,False,0.0,3.613629102706909,0.01621621660888195,3.61114239692688,0.027173912152647972,0.0014300014300014298,27.42159240000001,9.140530800000002,42
learning_rate,0.001,B_full_train_confirmation,full_train_split,96,0.001,32,5,2,5,5,False,0.0,3.5489349365234375,0.05095108598470688,3.528869390487671,0.0625,0.028678946401759692,164.47787900000003,32.8955758,42
learning_rate,0.003,B_full_train_confirmation,full_train_split,96,0.003,32,5,2,5,5,False,0.0,3.6120893955230713,0.02139945700764656,3.6108245849609375,0.027173912152647972,0.0014300014300014298,68.59696310000004,13.719392620000008,42
batch_size,16,full_train_comparison,full_train_split,96,0.001,16,4,1,4,4,False,0.0,3.5900542736053467,0.036684781312942505,3.5772476196289062,0.03532608598470688,0.007358186822760524,16.15266900000006,4.038167250000015,42
batch_size,32,full_train_comparison,full_train_split,96,0.001,32,4,1,4,4,False,0.0,3.5753650665283203,0.03974184766411781,3.571889877319336,0.05298912897706032,0.019054901879662123,16.857586400000173,4.214396600000043,42
batch_size,64,full_train_comparison,full_train_split,96,0.001,64,4,1,4,4,False,0.0,3.5911972522735596,0.03396739065647125,3.5734024047851562,0.057065218687057495,0.01794495236277866,17.568753499999957,4.392188374999989,42
augmentation,horizontal_flip_small_rotation_zoom_translation,full_train_comparison,full_train_split,96,0.001,32,4,1,4,4,True,0.0,3.599686622619629,0.036684781312942505,3.6042072772979736,0.03125,0.0044681950798593755,19.599789199999805,4.899947299999951,42
