model_family,key,class_label,class_name,precision,recall,f1,support
MajorityClassBaseline,majority_baseline,0,No diabetes,0.8423998738568275,1.0,0.9144593264581283,32055
MajorityClassBaseline,majority_baseline,1,Prediabetes,0.0,0.0,0.0,695
MajorityClassBaseline,majority_baseline,2,Diabetes,0.0,0.0,0.0,5302
BasicCNN1D,basic,0,No diabetes,0.9394775791031641,0.732678209327718,0.8232902162863253,32055
BasicCNN1D,basic,1,Prediabetes,0.0311831789023521,0.2517985611510791,0.05549389567147614,695
BasicCNN1D,basic,2,Diabetes,0.3757559467813466,0.5273481705016975,0.4388291611080593,5302
AlexNetInspired1D,alexnet_inspired,0,No diabetes,0.9522339266254994,0.6542505069411948,0.7756060578043233,32055
AlexNetInspired1D,alexnet_inspired,1,Prediabetes,0.02928524156187955,0.5093525179856115,0.05538605961042009,695
AlexNetInspired1D,alexnet_inspired,2,Diabetes,0.4591370558375635,0.3411920030177292,0.39147370698982903,5302
VGGInspired1D,vgg_inspired,0,No diabetes,0.9437566475218039,0.6920293245983465,0.7985241180705543,32055
VGGInspired1D,vgg_inspired,1,Prediabetes,0.01968608672519287,0.10647482014388489,0.03322855859901212,695
VGGInspired1D,vgg_inspired,2,Diabetes,0.33305524657026325,0.6776688042248208,0.44661280298321937,5302
ResNetInspired1D,resnet_inspired,0,No diabetes,0.9347309186018864,0.7358290438309156,0.823439054617815,32055
ResNetInspired1D,resnet_inspired,1,Prediabetes,0.02520677432059866,0.0920863309352518,0.039579468150896725,695
ResNetInspired1D,resnet_inspired,2,Diabetes,0.336316762330966,0.6520181063749528,0.4437455875746101,5302
