model_family,key,rank,true_label,predicted_label,true_class,predicted_class,count
BasicCNN2D,basic,1,4,7,Industrial,Residential,104
BasicCNN2D,basic,2,3,8,Highway,River,93
BasicCNN2D,basic,3,8,3,River,Highway,82
BasicCNN2D,basic,4,6,3,PermanentCrop,Highway,76
BasicCNN2D,basic,5,6,2,PermanentCrop,HerbaceousVegetation,72
BasicCNN2D,basic,6,2,7,HerbaceousVegetation,Residential,52
BasicCNN2D,basic,7,5,1,Pasture,Forest,35
BasicCNN2D,basic,8,3,7,Highway,Residential,32
AlexNetInspired2D,alexnet_inspired,1,1,0,Forest,AnnualCrop,450
AlexNetInspired2D,alexnet_inspired,2,2,0,HerbaceousVegetation,AnnualCrop,450
AlexNetInspired2D,alexnet_inspired,3,7,0,Residential,AnnualCrop,450
AlexNetInspired2D,alexnet_inspired,4,9,0,SeaLake,AnnualCrop,450
AlexNetInspired2D,alexnet_inspired,5,3,0,Highway,AnnualCrop,375
AlexNetInspired2D,alexnet_inspired,6,4,0,Industrial,AnnualCrop,375
AlexNetInspired2D,alexnet_inspired,7,6,0,PermanentCrop,AnnualCrop,375
AlexNetInspired2D,alexnet_inspired,8,8,0,River,AnnualCrop,375
VGGInspired2D,vgg_inspired,1,1,0,Forest,AnnualCrop,450
VGGInspired2D,vgg_inspired,2,2,0,HerbaceousVegetation,AnnualCrop,450
VGGInspired2D,vgg_inspired,3,7,0,Residential,AnnualCrop,450
VGGInspired2D,vgg_inspired,4,9,0,SeaLake,AnnualCrop,450
VGGInspired2D,vgg_inspired,5,3,0,Highway,AnnualCrop,375
VGGInspired2D,vgg_inspired,6,4,0,Industrial,AnnualCrop,375
VGGInspired2D,vgg_inspired,7,6,0,PermanentCrop,AnnualCrop,375
VGGInspired2D,vgg_inspired,8,8,0,River,AnnualCrop,375
ResNetInspired2D,resnet_inspired,1,1,0,Forest,AnnualCrop,450
ResNetInspired2D,resnet_inspired,2,2,0,HerbaceousVegetation,AnnualCrop,450
ResNetInspired2D,resnet_inspired,3,7,0,Residential,AnnualCrop,450
ResNetInspired2D,resnet_inspired,4,9,0,SeaLake,AnnualCrop,450
ResNetInspired2D,resnet_inspired,5,3,0,Highway,AnnualCrop,375
ResNetInspired2D,resnet_inspired,6,4,0,Industrial,AnnualCrop,375
ResNetInspired2D,resnet_inspired,7,6,0,PermanentCrop,AnnualCrop,375
ResNetInspired2D,resnet_inspired,8,8,0,River,AnnualCrop,375
