model_family,key,class_label,class_name,precision,recall,f1,support
BasicCNN2D,basic,0,AnnualCrop,0.8858560794044665,0.7933333333333333,0.8370457209847597,450
BasicCNN2D,basic,1,Forest,0.8553971486761711,0.9333333333333333,0.8926673751328374,450
BasicCNN2D,basic,2,HerbaceousVegetation,0.6940451745379876,0.7511111111111111,0.7214514407684098,450
BasicCNN2D,basic,3,Highway,0.4387755102040816,0.45866666666666667,0.4485006518904824,375
BasicCNN2D,basic,4,Industrial,0.9045801526717557,0.632,0.7441130298273155,375
BasicCNN2D,basic,5,Pasture,0.7,0.7466666666666667,0.7225806451612903,300
BasicCNN2D,basic,6,PermanentCrop,0.7276785714285714,0.43466666666666665,0.5442404006677797,375
BasicCNN2D,basic,7,Residential,0.6692307692307692,0.9666666666666667,0.7909090909090909,450
BasicCNN2D,basic,8,River,0.5856777493606138,0.6106666666666667,0.597911227154047,375
BasicCNN2D,basic,9,SeaLake,0.9790697674418605,0.9355555555555556,0.9568181818181818,450
AlexNetInspired2D,alexnet_inspired,0,AnnualCrop,0.1111111111111111,1.0,0.2,450
AlexNetInspired2D,alexnet_inspired,1,Forest,0.0,0.0,0.0,450
AlexNetInspired2D,alexnet_inspired,2,HerbaceousVegetation,0.0,0.0,0.0,450
AlexNetInspired2D,alexnet_inspired,3,Highway,0.0,0.0,0.0,375
AlexNetInspired2D,alexnet_inspired,4,Industrial,0.0,0.0,0.0,375
AlexNetInspired2D,alexnet_inspired,5,Pasture,0.0,0.0,0.0,300
AlexNetInspired2D,alexnet_inspired,6,PermanentCrop,0.0,0.0,0.0,375
AlexNetInspired2D,alexnet_inspired,7,Residential,0.0,0.0,0.0,450
AlexNetInspired2D,alexnet_inspired,8,River,0.0,0.0,0.0,375
AlexNetInspired2D,alexnet_inspired,9,SeaLake,0.0,0.0,0.0,450
VGGInspired2D,vgg_inspired,0,AnnualCrop,0.1111111111111111,1.0,0.2,450
VGGInspired2D,vgg_inspired,1,Forest,0.0,0.0,0.0,450
VGGInspired2D,vgg_inspired,2,HerbaceousVegetation,0.0,0.0,0.0,450
VGGInspired2D,vgg_inspired,3,Highway,0.0,0.0,0.0,375
VGGInspired2D,vgg_inspired,4,Industrial,0.0,0.0,0.0,375
VGGInspired2D,vgg_inspired,5,Pasture,0.0,0.0,0.0,300
VGGInspired2D,vgg_inspired,6,PermanentCrop,0.0,0.0,0.0,375
VGGInspired2D,vgg_inspired,7,Residential,0.0,0.0,0.0,450
VGGInspired2D,vgg_inspired,8,River,0.0,0.0,0.0,375
VGGInspired2D,vgg_inspired,9,SeaLake,0.0,0.0,0.0,450
ResNetInspired2D,resnet_inspired,0,AnnualCrop,0.1111111111111111,1.0,0.2,450
ResNetInspired2D,resnet_inspired,1,Forest,0.0,0.0,0.0,450
ResNetInspired2D,resnet_inspired,2,HerbaceousVegetation,0.0,0.0,0.0,450
ResNetInspired2D,resnet_inspired,3,Highway,0.0,0.0,0.0,375
ResNetInspired2D,resnet_inspired,4,Industrial,0.0,0.0,0.0,375
ResNetInspired2D,resnet_inspired,5,Pasture,0.0,0.0,0.0,300
ResNetInspired2D,resnet_inspired,6,PermanentCrop,0.0,0.0,0.0,375
ResNetInspired2D,resnet_inspired,7,Residential,0.0,0.0,0.0,450
ResNetInspired2D,resnet_inspired,8,River,0.0,0.0,0.0,375
ResNetInspired2D,resnet_inspired,9,SeaLake,0.0,0.0,0.0,450
