model_family,key,rank,true_label,predicted_label,true_class,predicted_class,count
BasicCNN2D,basic,1,22,34,newfoundland,staffordshire_bull_terrier,50
BasicCNN2D,basic,2,26,27,Ragdoll,Russian_Blue,38
BasicCNN2D,basic,3,24,10,pomeranian,chihuahua,36
BasicCNN2D,basic,4,9,27,British_Shorthair,Russian_Blue,35
BasicCNN2D,basic,5,33,0,Sphynx,Abyssinian,35
BasicCNN2D,basic,6,13,34,english_setter,staffordshire_bull_terrier,35
BasicCNN2D,basic,7,20,0,Maine_Coon,Abyssinian,34
BasicCNN2D,basic,8,10,0,chihuahua,Abyssinian,33
BasicCNN2D,basic,9,29,27,samoyed,Russian_Blue,33
BasicCNN2D,basic,10,14,34,german_shorthaired,staffordshire_bull_terrier,31
BasicCNN2D,basic,11,8,0,boxer,Abyssinian,30
BasicCNN2D,basic,12,18,27,keeshond,Russian_Blue,30
AlexNetInspired2D,alexnet_inspired,1,18,11,keeshond,Egyptian_Mau,63
AlexNetInspired2D,alexnet_inspired,2,22,11,newfoundland,Egyptian_Mau,59
AlexNetInspired2D,alexnet_inspired,3,30,11,scottish_terrier,Egyptian_Mau,56
AlexNetInspired2D,alexnet_inspired,4,14,11,german_shorthaired,Egyptian_Mau,54
AlexNetInspired2D,alexnet_inspired,5,28,11,saint_bernard,Egyptian_Mau,53
AlexNetInspired2D,alexnet_inspired,6,26,11,Ragdoll,Egyptian_Mau,51
AlexNetInspired2D,alexnet_inspired,7,15,11,great_pyrenees,Egyptian_Mau,51
AlexNetInspired2D,alexnet_inspired,8,19,11,leonberger,Egyptian_Mau,51
AlexNetInspired2D,alexnet_inspired,9,27,11,Russian_Blue,Egyptian_Mau,50
AlexNetInspired2D,alexnet_inspired,10,5,0,Bengal,Abyssinian,49
AlexNetInspired2D,alexnet_inspired,11,1,11,american_bulldog,Egyptian_Mau,48
AlexNetInspired2D,alexnet_inspired,12,13,11,english_setter,Egyptian_Mau,48
VGGInspired2D,vgg_inspired,1,5,14,Bengal,german_shorthaired,100
VGGInspired2D,vgg_inspired,2,6,14,Birman,german_shorthaired,100
VGGInspired2D,vgg_inspired,3,9,14,British_Shorthair,german_shorthaired,100
VGGInspired2D,vgg_inspired,4,20,14,Maine_Coon,german_shorthaired,100
VGGInspired2D,vgg_inspired,5,23,14,Persian,german_shorthaired,100
VGGInspired2D,vgg_inspired,6,26,14,Ragdoll,german_shorthaired,100
VGGInspired2D,vgg_inspired,7,27,14,Russian_Blue,german_shorthaired,100
VGGInspired2D,vgg_inspired,8,32,14,Siamese,german_shorthaired,100
VGGInspired2D,vgg_inspired,9,33,14,Sphynx,german_shorthaired,100
VGGInspired2D,vgg_inspired,10,1,14,american_bulldog,german_shorthaired,100
VGGInspired2D,vgg_inspired,11,2,14,american_pit_bull_terrier,german_shorthaired,100
VGGInspired2D,vgg_inspired,12,3,14,basset_hound,german_shorthaired,100
ResNetInspired2D,resnet_inspired,1,26,23,Ragdoll,Persian,79
ResNetInspired2D,resnet_inspired,2,24,23,pomeranian,Persian,79
ResNetInspired2D,resnet_inspired,3,9,23,British_Shorthair,Persian,74
ResNetInspired2D,resnet_inspired,4,6,23,Birman,Persian,69
ResNetInspired2D,resnet_inspired,5,0,23,Abyssinian,Persian,68
ResNetInspired2D,resnet_inspired,6,14,8,german_shorthaired,boxer,66
ResNetInspired2D,resnet_inspired,7,20,23,Maine_Coon,Persian,65
ResNetInspired2D,resnet_inspired,8,29,23,samoyed,Persian,65
ResNetInspired2D,resnet_inspired,9,27,23,Russian_Blue,Persian,64
ResNetInspired2D,resnet_inspired,10,18,23,keeshond,Persian,64
ResNetInspired2D,resnet_inspired,11,19,23,leonberger,Persian,60
ResNetInspired2D,resnet_inspired,12,11,23,Egyptian_Mau,Persian,58
