model_family,key,split,class_label,class_name,precision,recall,f1,support
BasicCNN2D,basic,train,0,Abyssinian,0.06438631790744467,0.4,0.11091854419410745,80
BasicCNN2D,basic,train,1,american_bulldog,0.0,0.0,0.0,80
BasicCNN2D,basic,train,2,american_pit_bull_terrier,0.0,0.0,0.0,80
BasicCNN2D,basic,train,3,basset_hound,0.047021943573667714,0.1875,0.07518796992481203,80
BasicCNN2D,basic,train,4,beagle,0.0,0.0,0.0,80
BasicCNN2D,basic,train,5,Bengal,0.0,0.0,0.0,80
BasicCNN2D,basic,train,6,Birman,0.0,0.0,0.0,80
BasicCNN2D,basic,train,7,Bombay,0.0,0.0,0.0,77
BasicCNN2D,basic,train,8,boxer,0.03896103896103896,0.0375,0.03821656050955414,80
BasicCNN2D,basic,train,9,British_Shorthair,0.0,0.0,0.0,80
BasicCNN2D,basic,train,10,chihuahua,0.03992015968063872,0.25,0.06884681583476764,80
BasicCNN2D,basic,train,11,Egyptian_Mau,0.0,0.0,0.0,74
BasicCNN2D,basic,train,12,english_cocker_spaniel,0.05660377358490566,0.03896103896103896,0.046153846153846156,77
BasicCNN2D,basic,train,13,english_setter,0.0,0.0,0.0,80
BasicCNN2D,basic,train,14,german_shorthaired,0.13043478260869565,0.0375,0.05825242718446602,80
BasicCNN2D,basic,train,15,great_pyrenees,0.0,0.0,0.0,80
BasicCNN2D,basic,train,16,havanese,0.0,0.0,0.0,80
BasicCNN2D,basic,train,17,japanese_chin,0.0,0.0,0.0,80
BasicCNN2D,basic,train,18,keeshond,0.041666666666666664,0.0625,0.05,80
BasicCNN2D,basic,train,19,leonberger,0.0,0.0,0.0,80
BasicCNN2D,basic,train,20,Maine_Coon,0.0,0.0,0.0,80
BasicCNN2D,basic,train,21,miniature_pinscher,0.05472636815920398,0.1375,0.07829181494661921,80
BasicCNN2D,basic,train,22,newfoundland,0.0,0.0,0.0,77
BasicCNN2D,basic,train,23,Persian,0.0,0.0,0.0,80
BasicCNN2D,basic,train,24,pomeranian,0.0,0.0,0.0,80
BasicCNN2D,basic,train,25,pug,0.0,0.0,0.0,80
BasicCNN2D,basic,train,26,Ragdoll,0.057692307692307696,0.1125,0.07627118644067797,80
BasicCNN2D,basic,train,27,Russian_Blue,0.05791505791505792,0.375,0.10033444816053512,80
BasicCNN2D,basic,train,28,saint_bernard,0.0,0.0,0.0,80
BasicCNN2D,basic,train,29,samoyed,0.02127659574468085,0.025,0.022988505747126436,80
BasicCNN2D,basic,train,30,scottish_terrier,0.0,0.0,0.0,80
BasicCNN2D,basic,train,31,shiba_inu,0.0,0.0,0.0,80
BasicCNN2D,basic,train,32,Siamese,0.0,0.0,0.0,79
BasicCNN2D,basic,train,33,Sphynx,0.0,0.0,0.0,80
BasicCNN2D,basic,train,34,staffordshire_bull_terrier,0.09090909090909091,0.425,0.14977973568281938,80
BasicCNN2D,basic,train,35,wheaten_terrier,0.0,0.0,0.0,80
BasicCNN2D,basic,train,36,yorkshire_terrier,0.0,0.0,0.0,80
BasicCNN2D,basic,validation,0,Abyssinian,0.04032258064516129,0.25,0.06944444444444445,20
BasicCNN2D,basic,validation,1,american_bulldog,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,2,american_pit_bull_terrier,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,3,basset_hound,0.07407407407407407,0.3,0.1188118811881188,20
BasicCNN2D,basic,validation,4,beagle,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,5,Bengal,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,6,Birman,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,7,Bombay,0.0,0.0,0.0,19
BasicCNN2D,basic,validation,8,boxer,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,9,British_Shorthair,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,10,chihuahua,0.045454545454545456,0.25,0.07692307692307693,20
BasicCNN2D,basic,validation,11,Egyptian_Mau,0.0,0.0,0.0,19
BasicCNN2D,basic,validation,12,english_cocker_spaniel,0.0,0.0,0.0,19
BasicCNN2D,basic,validation,13,english_setter,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,14,german_shorthaired,0.3333333333333333,0.1,0.15384615384615385,20
BasicCNN2D,basic,validation,15,great_pyrenees,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,16,havanese,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,17,japanese_chin,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,18,keeshond,0.125,0.15,0.13636363636363635,20
BasicCNN2D,basic,validation,19,leonberger,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,20,Maine_Coon,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,21,miniature_pinscher,0.0784313725490196,0.2,0.11267605633802817,20
BasicCNN2D,basic,validation,22,newfoundland,0.0,0.0,0.0,19
BasicCNN2D,basic,validation,23,Persian,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,24,pomeranian,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,25,pug,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,26,Ragdoll,0.03333333333333333,0.05,0.04,20
BasicCNN2D,basic,validation,27,Russian_Blue,0.04827586206896552,0.35,0.08484848484848485,20
BasicCNN2D,basic,validation,28,saint_bernard,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,29,samoyed,0.07142857142857142,0.1,0.08333333333333333,20
BasicCNN2D,basic,validation,30,scottish_terrier,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,31,shiba_inu,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,32,Siamese,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,33,Sphynx,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,34,staffordshire_bull_terrier,0.1111111111111111,0.55,0.18487394957983194,20
BasicCNN2D,basic,validation,35,wheaten_terrier,0.0,0.0,0.0,20
BasicCNN2D,basic,validation,36,yorkshire_terrier,0.0,0.0,0.0,20
BasicCNN2D,basic,test,0,Abyssinian,0.06646058732612056,0.4387755102040816,0.11543624161073826,98
BasicCNN2D,basic,test,1,american_bulldog,0.0,0.0,0.0,100
BasicCNN2D,basic,test,2,american_pit_bull_terrier,0.0,0.0,0.0,100
BasicCNN2D,basic,test,3,basset_hound,0.041463414634146344,0.17,0.06666666666666667,100
BasicCNN2D,basic,test,4,beagle,0.0,0.0,0.0,100
BasicCNN2D,basic,test,5,Bengal,0.0,0.0,0.0,100
BasicCNN2D,basic,test,6,Birman,0.0,0.0,0.0,100
BasicCNN2D,basic,test,7,Bombay,0.0,0.0,0.0,88
BasicCNN2D,basic,test,8,boxer,0.034482758620689655,0.04040404040404041,0.037209302325581395,99
BasicCNN2D,basic,test,9,British_Shorthair,0.07692307692307693,0.01,0.017699115044247787,100
BasicCNN2D,basic,test,10,chihuahua,0.02533783783783784,0.15,0.04335260115606936,100
BasicCNN2D,basic,test,11,Egyptian_Mau,0.0,0.0,0.0,97
BasicCNN2D,basic,test,12,english_cocker_spaniel,0.0273972602739726,0.02,0.023121387283236993,100
BasicCNN2D,basic,test,13,english_setter,0.0,0.0,0.0,100
BasicCNN2D,basic,test,14,german_shorthaired,0.0,0.0,0.0,100
BasicCNN2D,basic,test,15,great_pyrenees,0.0,0.0,0.0,100
BasicCNN2D,basic,test,16,havanese,0.0,0.0,0.0,100
BasicCNN2D,basic,test,17,japanese_chin,0.0,0.0,0.0,100
BasicCNN2D,basic,test,18,keeshond,0.06,0.06060606060606061,0.06030150753768844,99
BasicCNN2D,basic,test,19,leonberger,0.0,0.0,0.0,100
BasicCNN2D,basic,test,20,Maine_Coon,0.0,0.0,0.0,100
BasicCNN2D,basic,test,21,miniature_pinscher,0.02888086642599278,0.08,0.042440318302387266,100
BasicCNN2D,basic,test,22,newfoundland,0.0,0.0,0.0,100
BasicCNN2D,basic,test,23,Persian,0.0,0.0,0.0,100
BasicCNN2D,basic,test,24,pomeranian,0.0,0.0,0.0,100
BasicCNN2D,basic,test,25,pug,0.0,0.0,0.0,100
BasicCNN2D,basic,test,26,Ragdoll,0.08484848484848485,0.14,0.10566037735849057,100
BasicCNN2D,basic,test,27,Russian_Blue,0.06401384083044982,0.37,0.10914454277286136,100
BasicCNN2D,basic,test,28,saint_bernard,0.0,0.0,0.0,100
BasicCNN2D,basic,test,29,samoyed,0.043010752688172046,0.04,0.04145077720207254,100
BasicCNN2D,basic,test,30,scottish_terrier,0.0,0.0,0.0,99
BasicCNN2D,basic,test,31,shiba_inu,0.0,0.0,0.0,100
BasicCNN2D,basic,test,32,Siamese,0.0,0.0,0.0,100
BasicCNN2D,basic,test,33,Sphynx,0.0,0.0,0.0,100
BasicCNN2D,basic,test,34,staffordshire_bull_terrier,0.040515653775322284,0.24719101123595505,0.06962025316455696,89
