customer_id,signup_date,age,gender,country,segment,is_churned,lifetime_value,email_opt_in,has_app
C00000,2020-02-13,28,M,BR,Premium,0,1595.27,0,0
C00001,2021-10-01,22,Prefer not to say,FR,Regular,0,1160.61,1,0
C00002,2022-06-26,30,F,US,VIP,0,3093.32,1,1
C00003,2021-12-21,48,F,US,Premium,1,2131.08,1,0
C00004,2021-09-16,37,M,CA,Budget Shopper,0,583.39,0,1
C00005,2024-02-27,46,M,US,Occasional Visitor,1,833.78,1,0
C00006,2020-02-16,41,F,UK,Premium,0,2491.77,1,0
C00007,2022-06-14,27,M,JP,Premium,0,1881.17,1,1
C00008,2022-01-23,18,F,UK,Budget Shopper,0,631.11,1,1
C00009,2022-05-05,23,Prefer not to say,US,Regular,0,856.31,0,1
C00010,2021-07-20,26,M,US,Regular,0,1294.25,1,1
C00011,2021-04-10,26,F,BR,VIP,0,6623.57,0,0
C00012,2022-05-21,46,F,US,Regular,0,679.1,0,0
C00013,2020-10-14,46,M,US,Premium,0,2156.11,1,1
C00014,2024-06-03,61,F,CA,Regular,0,962.94,1,0
C00015,2021-08-20,25,F,UK,Budget Shopper,0,534.11,1,0
C00016,2022-12-01,54,M,US,Regular,0,840.56,1,1
C00017,2022-02-11,54,M,CA,Budget Shopper,0,354.32,1,1
C00018,2021-08-02,32,F,CA,Premium,0,2367.84,1,0
C00019,2023-07-15,40,F,US,Regular,1,945.69,1,1
C00020,2020-04-09,49,Non-binary,UK,Premium,0,2312.42,0,0
C00021,2022-10-12,34,F,FR,Regular,0,1345.49,0,1
C00022,2023-06-13,33,M,US,Occasional Visitor,1,476.52,1,0
C00023,2020-02-26,27,Prefer not to say,MX,VIP,0,4857.78,1,1
C00024,2020-04-28,18,F,US,Premium,0,2045.42,1,0
C00025,2021-07-26,35,M,UK,Budget Shopper,0,502.96,1,0
C00026,2022-03-22,26,M,DE,Regular,0,938.57,1,0
C00027,2024-04-08,22,M,CA,Budget Shopper,1,352.48,1,1
C00028,2024-03-02,40,M,US,Budget Shopper,0,549.13,1,1
C00029,2020-05-11,18,F,UK,Premium,0,4062.86,1,0
C00030,2023-06-18,44,M,JP,Premium,0,2339.65,1,1
C00031,2024-06-02,40,Prefer not to say,UK,Occasional Visitor,1,654.77,1,1
C00032,2022-12-08,30,F,US,Regular,0,899.47,1,0
C00033,2023-10-09,34,M,US,Regular,0,1357.05,1,1
C00034,2022-09-11,20,Prefer not to say,UK,Regular,0,858.84,0,0
C00035,2021-12-05,44,F,US,Budget Shopper,0,662.45,1,0
C00036,2022-11-07,37,M,IN,Budget Shopper,1,295.4,1,0
C00037,2023-07-15,38,M,JP,Regular,0,1152.89,1,1
C00038,2023-05-22,41,F,JP,Budget Shopper,1,582.92,0,1
C00039,2020-08-04,27,F,US,Premium,0,2857.47,1,1
C00040,2024-04-12,18,F,UK,Regular,0,1290.38,1,1
C00041,2020-12-29,46,F,US,Premium,1,2559.62,1,0
C00042,2022-11-12,43,F,US,Premium,0,3092.15,1,1
C00043,2022-02-02,28,F,CA,Regular,0,827.48,1,1
C00044,2020-03-21,39,F,US,Premium,0,2013.52,0,0
C00045,2023-06-25,50,F,US,Premium,0,2158.17,1,0
C00046,2023-01-22,48,M,IN,Regular,0,1507.97,1,0
C00047,2021-10-01,28,F,AU,Budget Shopper,0,558.27,0,1
C00048,2020-01-01,18,M,BR,Premium,1,2809.16,0,1
C00049,2021-06-14,19,F,US,Budget Shopper,0,477.61,1,0
C00050,2021-08-05,31,M,IN,Budget Shopper,0,602.1,1,0
C00051,2024-03-27,52,F,US,Budget Shopper,1,306.0,0,1
