session_id,customer_id,session_date,device,channel,duration_seconds,pages_viewed,converted,bounced,cart_additions
S049064,C03202,2023-01-01 00:24:50,desktop,direct,72,1,1,0,5
S015939,C09526,2023-01-01 00:42:04,mobile,organic,36,1,0,0,1
S003166,C07034,2023-01-01 00:55:56,desktop,social,284,5,0,0,0
S039733,C05327,2023-01-01 01:33:58,mobile,direct,805,10,0,0,1
S045293,C05338,2023-01-01 01:35:22,tablet,direct,207,3,0,0,0
S021941,C00356,2023-01-01 01:55:34,desktop,direct,939,16,0,0,0
S054579,C05100,2023-01-01 02:01:13,mobile,paid_search,284,7,0,0,1
S016137,C09051,2023-01-01 02:14:37,desktop,referral,244,3,1,0,5
S048375,C09516,2023-01-01 02:14:40,desktop,paid_search,236,3,0,0,1
S078623,C06176,2023-01-01 02:17:00,mobile,paid_search,74,1,0,0,0
S052310,C08187,2023-01-01 02:18:01,mobile,organic,124,1,1,0,3
S052325,C06670,2023-01-01 02:39:20,mobile,referral,28,1,0,1,0
S064466,C07942,2023-01-01 02:43:54,mobile,organic,863,24,0,0,2
S066112,C02981,2023-01-01 02:49:00,tablet,organic,96,1,0,0,2
S050311,C02729,2023-01-01 02:59:01,desktop,email,28,1,0,1,1
S008007,C07178,2023-01-01 03:07:04,mobile,organic,69,1,0,0,1
S035943,C04736,2023-01-01 03:13:33,mobile,organic,10,1,1,1,3
S035975,C05979,2023-01-01 03:27:26,desktop,paid_search,325,4,0,0,1
S019513,C00519,2023-01-01 03:33:31,desktop,referral,921,14,0,0,1
S030023,C03570,2023-01-01 03:58:30,desktop,paid_search,276,5,0,0,2
S076537,C05057,2023-01-01 04:28:16,mobile,direct,10,1,0,1,0
S029310,C05043,2023-01-01 04:49:34,mobile,email,19,1,0,1,2
S069958,C09492,2023-01-01 04:56:03,desktop,referral,212,5,0,0,0
S075353,C05387,2023-01-01 05:16:52,mobile,paid_search,112,3,0,0,1
S001318,C06888,2023-01-01 05:24:57,desktop,referral,288,3,0,0,0
S069530,C02231,2023-01-01 05:27:47,desktop,direct,113,2,0,0,0
S037594,C01787,2023-01-01 05:36:22,mobile,social,358,4,0,0,0
S010066,C01888,2023-01-01 05:37:17,desktop,paid_search,249,4,0,0,0
S010151,C00225,2023-01-01 05:42:03,desktop,organic,99,2,0,0,0
S074218,C06711,2023-01-01 06:05:16,mobile,email,800,13,0,0,0
S074502,C07212,2023-01-01 06:09:32,mobile,direct,271,5,0,0,0
S063754,C06751,2023-01-01 06:33:55,desktop,organic,271,3,0,0,1
S024477,C05669,2023-01-01 06:37:42,mobile,paid_search,10,1,0,1,0
S048594,C07599,2023-01-01 06:42:55,mobile,paid_search,147,2,0,0,2
S071926,C05714,2023-01-01 06:56:49,desktop,social,116,3,0,0,1
S041806,C03480,2023-01-01 07:08:09,desktop,social,106,1,0,0,0
S074133,C08352,2023-01-01 07:14:07,desktop,paid_search,95,1,1,0,4
S020992,C01238,2023-01-01 07:23:32,mobile,paid_search,24,1,0,1,1
S007935,C03660,2023-01-01 07:30:32,desktop,email,197,6,0,0,0
S042390,C04374,2023-01-01 07:41:29,mobile,organic,105,2,0,0,1
S046745,C03624,2023-01-01 07:52:11,mobile,organic,114,1,0,0,0
S028999,C01785,2023-01-01 08:02:39,mobile,paid_search,441,8,0,0,2
S062084,C08416,2023-01-01 08:03:13,mobile,organic,314,5,0,0,0
S038527,C09916,2023-01-01 08:17:06,tablet,organic,81,1,0,0,1
S025721,C05340,2023-01-01 08:42:41,mobile,social,106,1,0,0,0
S037338,C03566,2023-01-01 08:56:51,mobile,referral,294,6,0,0,2
S035734,C00203,2023-01-01 08:59:02,desktop,direct,29,1,0,1,0
S061882,C01670,2023-01-01 09:13:50,desktop,social,1346,31,0,0,0
S029376,C00523,2023-01-01 09:53:18,desktop,organic,186,2,0,0,2
S044244,C01051,2023-01-01 10:06:57,mobile,paid_search,231,4,0,0,0
S076841,C06126,2023-01-01 10:08:16,tablet,social,119,3,0,0,1
S077054,C03310,2023-01-01 10:17:33,mobile,organic,10,1,0,1,0
S010411,C02461,2023-01-01 10:46:31,mobile,paid_search,398,8,0,0,0
S040880,C06292,2023-01-01 11:01:34,mobile,direct,47,1,0,0,2
S044436,C03652,2023-01-01 11:17:21,mobile,paid_search,512,6,0,0,0
S002871,C00720,2023-01-01 11:28:59,desktop,direct,348,5,0,0,1
S042381,C01845,2023-01-01 11:32:12,desktop,organic,222,5,0,0,0
S011896,C08438,2023-01-01 11:32:31,mobile,paid_search,361,11,1,0,4
S004949,C05537,2023-01-01 11:39:20,tablet,paid_search,436,7,0,0,1
S002434,C04651,2023-01-01 11:52:12,desktop,organic,212,2,0,0,2
S022083,C03361,2023-01-01 12:00:29,mobile,social,132,1,0,0,1
S071325,C04439,2023-01-01 12:29:20,mobile,organic,362,5,0,0,2
S013409,C08049,2023-01-01 12:37:45,desktop,direct,270,6,0,0,1
S042888,C02672,2023-01-01 12:37:47,mobile,email,1838,21,0,0,2
S035442,C08880,2023-01-01 12:46:35,desktop,referral,1652,18,0,0,1
S023857,C02801,2023-01-01 13:03:01,mobile,direct,559,14,0,0,0
S040695,C04016,2023-01-01 13:18:11,desktop,email,53,1,0,0,0
S057882,C08893,2023-01-01 13:56:49,mobile,email,161,2,0,0,0
S055599,C00222,2023-01-01 13:59:31,mobile,organic,62,1,1,0,3
S001468,C06837,2023-01-01 13:59:53,desktop,social,10,1,0,1,2
S067228,C09605,2023-01-01 13:59:58,tablet,social,71,1,0,0,0
S072054,C08350,2023-01-01 14:13:42,tablet,direct,136,2,0,0,0
S056085,C02503,2023-01-01 14:19:11,desktop,social,1212,23,0,0,0
S007828,C01479,2023-01-01 14:19:30,mobile,organic,32,1,0,0,0
S065283,C00789,2023-01-01 14:27:32,mobile,email,57,1,0,0,0
S068842,C02905,2023-01-01 14:36:34,desktop,paid_search,340,5,0,0,0
S017611,C07466,2023-01-01 14:45:00,tablet,referral,10,1,0,1,2
