transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,discount_applied,status,payment_method,shipping_cost
T077767,C08119,P0932,2023-01-01 00:23:39,1,23.87,23.87,0,refunded,paypal,8.15
T021376,C08883,P0889,2023-01-01 00:26:51,1,31.53,31.53,50,refunded,credit_card,6.13
T117783,C05855,P0065,2023-01-01 00:45:53,1,67.75,67.75,0,completed,apple_pay,0.0
T035185,C09437,P0200,2023-01-01 01:04:28,1,151.06,151.06,5,cancelled,apple_pay,0.0
T092643,C00760,P0881,2023-01-01 01:06:45,1,11.97,11.97,50,completed,paypal,5.31
T088042,C02979,P0269,2023-01-01 01:13:19,1,27.11,27.11,20,completed,credit_card,7.47
T110118,C03752,P0683,2023-01-01 01:17:34,1,67.14,67.14,0,completed,debit_card,0.0
T077587,C08325,P0592,2023-01-01 01:18:59,1,129.37,129.37,0,refunded,credit_card,0.0
T104403,C00519,P0638,2023-01-01 01:26:34,1,24.2,24.2,0,completed,paypal,5.15
T108770,C01043,P0971,2023-01-01 01:38:16,1,258.08,258.08,0,cancelled,debit_card,0.0
T071264,C02938,P0708,2023-01-01 01:45:03,1,29.54,29.54,0,completed,paypal,5.79
T025082,C06237,P0993,2023-01-01 02:00:46,2,33.25,66.5,0,completed,paypal,0.0
T031915,C01970,P0959,2023-01-01 02:29:02,1,28.66,28.66,15,completed,paypal,9.38
T012164,C00829,P0980,2023-01-01 02:35:56,1,4.88,4.88,0,completed,paypal,4.74
T027890,C03981,P0548,2023-01-01 02:36:19,1,51.28,51.28,0,refunded,credit_card,0.0
T054388,C09525,P0659,2023-01-01 02:56:20,1,11.6,11.6,10,completed,debit_card,5.91
T077808,C08876,P0522,2023-01-01 02:56:47,1,26.49,26.49,0,pending,credit_card,5.82
T050925,C00884,P0422,2023-01-01 02:59:14,1,27.14,27.14,40,completed,credit_card,8.6
T023526,C00851,P0488,2023-01-01 03:06:18,1,29.98,29.98,20,completed,paypal,7.3
T070087,C04445,P0066,2023-01-01 03:18:38,1,18.93,18.93,0,cancelled,debit_card,8.95
T077167,C01977,P0355,2023-01-01 03:19:30,1,10.33,10.33,0,completed,google_pay,6.85
T019724,C03714,P0646,2023-01-01 03:31:46,1,67.14,67.14,0,completed,paypal,0.0
T075163,C03370,P0112,2023-01-01 03:50:43,1,302.87,302.87,0,completed,google_pay,0.0
T097042,C05172,P0917,2023-01-01 04:05:17,1,42.0,42.0,5,pending,credit_card,4.68
T012732,C06912,P0006,2023-01-01 04:06:54,1,43.06,43.06,0,completed,paypal,7.15
T088890,C01808,P0362,2023-01-01 04:11:42,1,34.1,34.1,40,cancelled,credit_card,5.48
T002581,C04137,P0496,2023-01-01 04:16:52,1,8.21,8.21,50,completed,paypal,8.88
T045055,C07443,P0793,2023-01-01 04:20:30,1,28.89,28.89,5,cancelled,debit_card,6.97
T031457,C08045,P0971,2023-01-01 04:23:29,1,258.08,258.08,0,pending,credit_card,0.0
T010354,C07497,P0585,2023-01-01 04:27:22,2,275.42,550.84,0,completed,google_pay,0.0
T025606,C09339,P0543,2023-01-01 04:40:33,1,18.96,18.96,0,pending,debit_card,9.68
T107599,C06026,P0791,2023-01-01 04:48:39,1,50.01,50.01,0,completed,paypal,0.0
T102872,C08022,P0125,2023-01-01 04:56:47,1,33.36,33.36,0,completed,google_pay,6.25
T098263,C06502,P0145,2023-01-01 05:06:06,1,182.31,182.31,40,pending,bank_transfer,0.0
T022126,C07316,P0241,2023-01-01 05:24:27,1,16.92,16.92,0,completed,credit_card,6.38
T095602,C07408,P0134,2023-01-01 05:44:35,1,19.02,19.02,20,completed,credit_card,4.39
T039769,C07806,P0189,2023-01-01 05:53:29,1,16.26,16.26,10,refunded,apple_pay,4.87
T025518,C03044,P0108,2023-01-01 05:56:05,1,6.97,6.97,0,cancelled,google_pay,9.07
T112322,C02970,P0258,2023-01-01 06:00:28,1,115.51,115.51,30,completed,debit_card,0.0
T039317,C06586,P0409,2023-01-01 06:05:34,1,56.88,56.88,0,completed,credit_card,0.0
T011618,C04849,P0655,2023-01-01 06:07:39,1,31.87,31.87,0,completed,credit_card,7.33
T003616,C05983,P0939,2023-01-01 06:10:17,1,22.29,22.29,20,cancelled,debit_card,5.52
T020878,C01853,P0707,2023-01-01 06:27:07,1,145.48,145.48,0,completed,paypal,0.0
T106433,C06341,P0585,2023-01-01 06:37:31,1,275.42,275.42,0,completed,debit_card,0.0
T015596,C01064,P0146,2023-01-01 06:47:46,1,20.43,20.43,0,completed,paypal,4.06
T010145,C07564,P0172,2023-01-01 07:04:02,2,68.73,137.46,0,refunded,credit_card,0.0
T042060,C08129,P0282,2023-01-01 07:04:07,1,53.92,53.92,0,completed,credit_card,0.0
T078490,C08821,P0753,2023-01-01 07:12:45,1,5.87,5.87,0,pending,google_pay,9.59
T117776,C01678,P0390,2023-01-01 07:19:58,1,9.37,9.37,0,completed,paypal,9.32
T083497,C08677,P0227,2023-01-01 07:27:17,1,60.95,60.95,0,completed,debit_card,0.0
T101054,C04036,P0263,2023-01-01 07:29:54,1,21.12,21.12,0,completed,debit_card,5.81
T067772,C05666,P0147,2023-01-01 07:45:55,2,59.61,119.21,10,completed,debit_card,0.0
T054093,C04226,P0873,2023-01-01 07:47:33,4,32.59,130.36,0,completed,credit_card,0.0
T011425,C01001,P0871,2023-01-01 07:56:16,1,41.74,41.74,0,completed,credit_card,8.78
T043143,C08193,P0722,2023-01-01 08:25:36,1,503.13,503.13,0,pending,credit_card,0.0
T041107,C04824,P0953,2023-01-01 08:38:58,1,46.82,46.82,15,completed,apple_pay,7.15
T038962,C09122,P0195,2023-01-01 09:00:42,3,32.87,98.61,0,completed,paypal,0.0
T054329,C02054,P0658,2023-01-01 09:28:12,5,85.97,429.85,0,refunded,debit_card,0.0
T099185,C08272,P0437,2023-01-01 09:45:11,1,5.61,5.61,0,completed,credit_card,9.65
T053409,C09872,P0756,2023-01-01 09:45:20,1,55.83,55.83,0,pending,credit_card,0.0
T063603,C06058,P0103,2023-01-01 09:57:11,1,20.23,20.23,0,cancelled,credit_card,9.49
T013296,C04785,P0458,2023-01-01 10:18:35,1,12.92,12.92,0,completed,apple_pay,8.87
T016120,C02524,P0484,2023-01-01 10:18:46,1,56.36,56.36,0,completed,credit_card,0.0
