,precision,recall,f1-score,support
airplane,0.6401028277634961,0.498,0.5601799775028121,1000.0
automobile,0.612037037037037,0.661,0.635576923076923,1000.0
bird,0.39444444444444443,0.355,0.3736842105263158,1000.0
cat,0.34856175972927245,0.412,0.37763519706691107,1000.0
deer,0.3475266123982467,0.555,0.4274162495186754,1000.0
dog,0.46415981198589895,0.395,0.42679632631010267,1000.0
frog,0.7594254937163375,0.423,0.5433526011560693,1000.0
horse,0.575212866603595,0.608,0.5911521633446767,1000.0
ship,0.590443686006826,0.692,0.6372007366482505,1000.0
truck,0.6029055690072639,0.498,0.5454545454545454,1000.0
accuracy,0.5097,0.5097,0.5097,0.5097
macro avg,0.5334820108692419,0.5097,0.5118448930605283,10000.0
weighted avg,0.533482010869242,0.5097,0.511844893060528,10000.0
