,precision,recall,f1-score,support
airplane,0.6436597110754414,0.401,0.4941466420209489,1000.0
automobile,0.6974789915966386,0.498,0.5810968494749125,1000.0
bird,0.3883677298311445,0.414,0.40077444336882867,1000.0
cat,0.33521809369951533,0.415,0.3708668453976765,1000.0
deer,0.4646017699115044,0.315,0.37544696066746125,1000.0
dog,0.43703007518796994,0.465,0.45058139534883723,1000.0
frog,0.5997807017543859,0.547,0.5721757322175732,1000.0
horse,0.4822104466313399,0.637,0.5489013356311935,1000.0
ship,0.5849056603773585,0.62,0.6019417475728155,1000.0
truck,0.4909365558912387,0.65,0.5593803786574871,1000.0
accuracy,0.4962,0.4962,0.4962,0.4962
macro avg,0.5124189735956537,0.4962000000000001,0.49553123303577334,10000.0
weighted avg,0.5124189735956537,0.4962,0.4955312330357734,10000.0
