Aspect,A03,A04
Business problem,Customer Behavior Churn Classification,Customer churn classification
Dataset,Synthetic E-Commerce Customer Behavior Dataset,Olist Brazilian E-Commerce Public Dataset - Customer Churn A04 Prepared
Target,is_churned,is_churned
Label 1,churned customer,churned customer: no valid repeat order in 180-day outcome window
Rows used,A03 dataset-specific row count,"58,101 customer rows"
Features,368,29 raw / 169 transformed
Best/final model,Improved DNN,M4 Residual MLP Feature Attention
F1,0.3643790849673202,0.9919574148006712
ROC-AUC,0.6654696765462751,0.6545206592386258
Comparison caveat,synthetic customer behavior,real Olist marketplace aggregates with much stronger label imbalance
