Feature,MeanAttention,StdAttention
categorical__primary_category_market_place,0.56080204,0.08925168
categorical__customer_state_AC,0.55893767,0.08460116
categorical__customer_city_sao jose do rio preto,0.55374515,0.10577215
categorical__customer_state_DF,0.5493683,0.09971923
categorical__customer_city_betim,0.5425198,0.114858635
categorical__customer_city_contagem,0.542369,0.09624269
categorical__customer_city_campos dos goytacazes,0.5418347,0.10219203
numeric__total_item_price,0.54152197,0.09611492
categorical__customer_state_PB,0.5402662,0.07528559
categorical__primary_category_consoles_games,0.5400977,0.10728905
categorical__customer_state_PI,0.538591,0.09894244
categorical__customer_city_caxias do sul,0.537289,0.08271232
categorical__customer_city_uberlandia,0.53523046,0.07301624
categorical__primary_category_Other,0.5343592,0.0769776
categorical__customer_city_santo andre,0.534316,0.09524363
categorical__customer_city_porto alegre,0.53379476,0.077352576
categorical__primary_payment_type_debit_card,0.5318797,0.08750135
categorical__customer_city_canoas,0.53170985,0.076595314
categorical__customer_state_PE,0.5305706,0.08309726
categorical__customer_city_londrina,0.530545,0.0883751
categorical__customer_city_guaruja,0.53016585,0.08468959
categorical__customer_state_RN,0.5290409,0.09793236
categorical__customer_city_campo grande,0.52824074,0.10431136
categorical__customer_city_duque de caxias,0.5273053,0.07734308
categorical__customer_city_santa maria,0.5269437,0.10936558
categorical__primary_category_electronics,0.5256351,0.09340059
categorical__primary_category_furniture_decor,0.5253526,0.09372991
categorical__primary_payment_type_Unknown,0.5248445,0.07842832
categorical__customer_state_SE,0.52387863,0.08350308
categorical__primary_category_fashion_bags_accessories,0.5238629,0.097229935
categorical__customer_state_RJ,0.5230989,0.08710851
categorical__primary_category_small_appliances,0.5221885,0.07949778
categorical__customer_city_teresina,0.52203846,0.08988683
categorical__customer_city_natal,0.5218622,0.07470033
categorical__primary_category_cool_stuff,0.5214763,0.092730165
categorical__customer_city_rio de janeiro,0.52013683,0.07206455
categorical__customer_city_uberaba,0.51976216,0.10419385
categorical__customer_city_macae,0.51832217,0.07399812
numeric__low_review_share,0.51821244,0.08692242
numeric__created_orders,0.51804805,0.076714166
categorical__customer_city_itaquaquecetuba,0.51790094,0.08744093
numeric__processing_orders,0.51782435,0.08693833
categorical__customer_city_sao caetano do sul,0.5177717,0.0615582
categorical__primary_category_audio,0.5177127,0.06859539
categorical__customer_city_belo horizonte,0.5177008,0.12117127
categorical__customer_city_ipatinga,0.51755977,0.09550916
numeric__avg_delivery_time_days,0.5168015,0.09067954
categorical__customer_city_maringa,0.51670796,0.06301026
categorical__customer_city_taubate,0.51638967,0.07989518
categorical__customer_state_AP,0.516378,0.08761849
categorical__customer_city_campinas,0.5159299,0.11709306
categorical__customer_state_PA,0.5156292,0.09282723
categorical__primary_category_books_general_interest,0.51560193,0.07960092
categorical__customer_state_RR,0.51557285,0.09432697
categorical__primary_category_toys,0.5155225,0.0898818
categorical__primary_category_furniture_living_room,0.5153506,0.089188784
categorical__customer_city_maceio,0.5153448,0.068889216
categorical__customer_city_juiz de fora,0.5148998,0.1076687
numeric__approved_orders,0.51483333,0.0860136
categorical__primary_category_sports_leisure,0.51397586,0.09800218
numeric__invoiced_orders,0.51390564,0.08586263
categorical__primary_category_baby,0.51382893,0.1051433
categorical__primary_category_musical_instruments,0.5132142,0.09626862
categorical__customer_city_bauru,0.51300836,0.08217801
categorical__customer_city_recife,0.51281744,0.079522096
categorical__primary_category_office_furniture,0.51277846,0.09538066
categorical__customer_city_mogi das cruzes,0.5125798,0.09247636
categorical__customer_city_blumenau,0.5115511,0.08095075
categorical__customer_city_piracicaba,0.5106766,0.09663591
categorical__customer_city_sao jose dos campos,0.5097648,0.09358394
categorical__customer_state_TO,0.509228,0.09904819
categorical__customer_state_MA,0.50884974,0.0967652
numeric__delivered_orders,0.50844055,0.07574051
categorical__primary_payment_type_boleto,0.5082927,0.09503537
categorical__customer_city_fortaleza,0.50811756,0.107671194
numeric__on_time_delivery_rate,0.50730085,0.079313405
categorical__primary_category_garden_tools,0.50721157,0.09159308
categorical__customer_city_brasilia,0.5065206,0.0954243
categorical__customer_city_jundiai,0.5061457,0.08889401
categorical__primary_payment_type_credit_card,0.50557834,0.07974758
categorical__customer_state_RO,0.50551873,0.083297506
categorical__primary_category_health_beauty,0.5050414,0.082169004
categorical__customer_city_barueri,0.5047884,0.076261416
categorical__customer_city_carapicuiba,0.50476515,0.096485585
categorical__primary_category_computers_accessories,0.50426704,0.0828608
categorical__customer_city_vitoria,0.50409365,0.10527554
categorical__customer_state_MS,0.5036097,0.093953535
categorical__customer_city_pelotas,0.50345314,0.07460993
categorical__customer_city_vila velha,0.50308603,0.08831216
categorical__customer_city_praia grande,0.5020469,0.08393437
categorical__primary_category_housewares,0.50101626,0.088336736
numeric__customer_tenure_days,0.5009536,0.108616
categorical__customer_city_sao bernardo do campo,0.5007212,0.08609421
categorical__customer_state_AL,0.5005189,0.08859358
categorical__customer_city_marilia,0.500503,0.09035039
categorical__customer_city_volta redonda,0.50041693,0.090532884
categorical__customer_city_petropolis,0.49864987,0.075946
categorical__customer_city_taboao da serra,0.49796334,0.07122354
categorical__primary_category_watches_gifts,0.49754637,0.06264716
categorical__customer_city_cotia,0.4973389,0.09839024
numeric__distinct_products,0.49689695,0.071285896
categorical__customer_city_joinville,0.4968768,0.08972155
categorical__customer_city_indaiatuba,0.49644238,0.10268106
categorical__customer_city_sao goncalo,0.49634832,0.08656418
categorical__customer_state_ES,0.4960358,0.074943535
categorical__customer_city_sao luis,0.49591509,0.1158439
categorical__primary_category_stationery,0.49571866,0.10114576
numeric__avg_delivery_delay_days,0.4952374,0.07402442
categorical__customer_city_serra,0.4951726,0.06898068
categorical__customer_city_ribeirao preto,0.49479634,0.090657756
categorical__customer_city_feira de santana,0.49455953,0.08138719
categorical__customer_state_RS,0.49422652,0.08017998
categorical__customer_city_niteroi,0.49400273,0.09116876
categorical__primary_category_home_confort,0.49395213,0.09052864
categorical__customer_city_maua,0.49388415,0.091176964
numeric__item_count,0.4937599,0.10690762
numeric__review_count,0.49343473,0.10048257
numeric__days_since_last_order,0.49324962,0.08630694
categorical__customer_city_montes claros,0.49316287,0.07479881
numeric__total_freight_value,0.4922125,0.08577811
categorical__customer_city_sorocaba,0.49178323,0.09343452
numeric__payment_type_diversity,0.49146965,0.09984538
categorical__customer_city_americana,0.49074212,0.12922569
categorical__customer_state_SP,0.49056965,0.10075123
categorical__primary_category_luggage_accessories,0.49019215,0.1051391
categorical__customer_city_osasco,0.4899708,0.079299934
categorical__primary_category_home_appliances,0.4889579,0.080901876
categorical__customer_city_santos,0.48883256,0.082142115
categorical__primary_category_Unknown,0.48824182,0.10749593
categorical__customer_city_sao carlos,0.48737887,0.08098615
categorical__customer_state_MG,0.4855954,0.07366607
categorical__customer_city_valinhos,0.48522884,0.11562853
categorical__primary_category_telephony,0.48429075,0.1198362
categorical__customer_city_salvador,0.48393574,0.08451406
numeric__order_count,0.48369887,0.09624618
categorical__customer_state_MT,0.48352847,0.06691927
categorical__customer_city_sao paulo,0.48299482,0.08935069
categorical__primary_category_bed_bath_table,0.48263744,0.0671846
categorical__primary_payment_type_voucher,0.48252434,0.12009985
categorical__customer_city_florianopolis,0.48095787,0.08923386
categorical__customer_city_aracaju,0.48094666,0.08803871
categorical__primary_category_auto,0.48082337,0.09162788
