Feature,MeanAttention,StdAttention
GenHlth,0.53835183,0.2017429
Age,0.52072185,0.15257967
CholCheck,0.5189312,0.17696014
HighBP,0.51743186,0.18172464
BMI,0.51433015,0.17734398
HvyAlcoholConsump,0.5058729,0.1894056
HighChol,0.5043881,0.21682277
HeartDiseaseorAttack,0.5036928,0.19797818
Stroke,0.50291526,0.1964647
Smoker,0.50164926,0.19742526
Education,0.49974713,0.20843762
Income,0.49972406,0.17958355
MentHlth,0.4975168,0.223819
NoDocbcCost,0.4974004,0.22110301
PhysHlth,0.4954782,0.23180436
Sex,0.49484614,0.19675387
DiffWalk,0.49418294,0.16707349
Veggies,0.488851,0.20683035
AnyHealthcare,0.4888383,0.21472977
Fruits,0.48541206,0.22384393
PhysActivity,0.4818961,0.2230706
