Feature,MeanAttention,StdAttention
categorical__zipcode_98039,0.5341749,0.15295185
categorical__zipcode_98004,0.532772,0.09613072
categorical__zipcode_98155,0.531195,0.13009736
categorical__zipcode_98028,0.5278084,0.08293206
categorical__zipcode_98102,0.525369,0.10249322
categorical__zipcode_98112,0.52220273,0.11050718
categorical__zipcode_98168,0.5198432,0.11635142
categorical__zipcode_98199,0.51958066,0.13272838
categorical__zipcode_98027,0.51956385,0.13065605
categorical__zipcode_98133,0.5183483,0.14107642
categorical__zipcode_98030,0.51821876,0.10906196
categorical__zipcode_98070,0.5179599,0.14837678
categorical__zipcode_98040,0.5179012,0.11161808
categorical__zipcode_98178,0.51753044,0.13392983
categorical__zipcode_98005,0.5174966,0.12690276
categorical__zipcode_98034,0.51693666,0.12803493
categorical__zipcode_98122,0.51665556,0.09475487
categorical__zipcode_98058,0.51627403,0.09109591
categorical__zipcode_98019,0.51615417,0.13872604
categorical__zipcode_98116,0.51604414,0.08876798
categorical__zipcode_98024,0.51499045,0.07803197
categorical__zipcode_98014,0.51447266,0.11933406
categorical__zipcode_98146,0.51398844,0.10260414
categorical__zipcode_98029,0.51330835,0.11849536
categorical__zipcode_98052,0.5131971,0.15700412
categorical__zipcode_98108,0.5130055,0.13149473
categorical__zipcode_98188,0.5125349,0.12088743
categorical__zipcode_98115,0.51241404,0.12153449
numeric__lat,0.51156926,0.11409334
categorical__zipcode_98008,0.51154333,0.092553124
categorical__zipcode_98032,0.5113749,0.106284305
categorical__zipcode_98011,0.51121485,0.120288305
categorical__zipcode_98006,0.50992465,0.110622
categorical__zipcode_98042,0.50983936,0.062357448
categorical__zipcode_98107,0.5092028,0.110876076
categorical__zipcode_98056,0.50857127,0.12458262
categorical__zipcode_98007,0.5078061,0.10066147
categorical__zipcode_98092,0.5076542,0.083260745
categorical__zipcode_98077,0.5075875,0.12755948
numeric__sqft_living,0.5074452,0.090378776
numeric__grade,0.50742936,0.117673025
categorical__zipcode_98136,0.50740105,0.10579005
categorical__zipcode_98109,0.50658953,0.08895256
categorical__zipcode_98010,0.50651616,0.11295014
categorical__zipcode_98023,0.50650066,0.10167376
categorical__zipcode_98117,0.50647694,0.10638682
categorical__zipcode_98119,0.50625855,0.10141636
categorical__zipcode_98106,0.50546974,0.123919666
categorical__zipcode_98166,0.50457954,0.1335241
categorical__zipcode_98001,0.50452006,0.10824939
categorical__zipcode_98148,0.5044988,0.15137891
numeric__sqft_above,0.5043794,0.09500098
categorical__zipcode_98055,0.50408846,0.14025533
categorical__zipcode_98074,0.50393677,0.10039976
numeric__yr_renovated,0.5038733,0.098988354
categorical__zipcode_98103,0.5035004,0.083977155
categorical__zipcode_98045,0.50349474,0.15601191
categorical__zipcode_98031,0.503312,0.11262071
categorical__zipcode_98144,0.5030936,0.10672367
categorical__zipcode_98177,0.50290084,0.10337831
categorical__zipcode_98125,0.5027208,0.09142063
categorical__zipcode_98033,0.5018264,0.14670783
categorical__zipcode_98126,0.501656,0.110487804
categorical__zipcode_98065,0.50140893,0.10854034
categorical__zipcode_98038,0.50120133,0.1285846
numeric__sqft_lot,0.5009058,0.08332719
categorical__zipcode_98059,0.50073564,0.15314811
numeric__renovated_flag,0.4999787,0.1004657
categorical__zipcode_98075,0.49941707,0.10279878
categorical__zipcode_98002,0.4988579,0.11375014
categorical__zipcode_98198,0.49883702,0.11776397
numeric__house_age_at_sale,0.49876097,0.113820694
categorical__zipcode_98105,0.4987586,0.14486927
numeric__sqft_living15,0.49863493,0.11073365
categorical__zipcode_98072,0.49800283,0.21122625
numeric__years_since_renovation,0.49779072,0.10234505
numeric__floors,0.49775136,0.09853345
numeric__yr_built,0.49697465,0.10105378
numeric__bathrooms,0.4966036,0.110963345
numeric__waterfront,0.4961965,0.10307053
categorical__zipcode_98053,0.4960156,0.10982361
categorical__zipcode_98118,0.4956149,0.12271406
numeric__sqft_lot15,0.4936615,0.11780164
categorical__zipcode_98003,0.49169892,0.11108956
numeric__long,0.4909942,0.13165201
categorical__zipcode_98022,0.48801395,0.124995574
numeric__sqft_basement,0.48712286,0.108788505
numeric__basement_flag,0.48703256,0.10479743
numeric__bedrooms,0.48676684,0.103291824
numeric__view,0.4856976,0.120475546
numeric__sale_year,0.48537198,0.11643386
numeric__condition,0.48401135,0.07310324
numeric__sale_month,0.47953168,0.12397396
