,precision,recall,f1-score,support
0,0.974025974025974,0.9948979591836735,0.9843513377082281,980.0
1,0.9920141969831411,0.9850220264317181,0.9885057471264368,1135.0
2,0.9842829076620825,0.9709302325581395,0.9775609756097561,1032.0
3,0.9840796019900497,0.9792079207920792,0.9816377171215881,1010.0
4,0.9928352098259979,0.9877800407331976,0.9903011740684022,982.0
5,0.969264544456641,0.9899103139013453,0.9794786466999446,892.0
6,0.9925925925925926,0.9791231732776617,0.9858118759852864,958.0
7,0.9712092130518234,0.9844357976653697,0.9777777777777777,1028.0
8,0.9713993871297242,0.9763860369609856,0.9738863287250384,974.0
9,0.9869346733668342,0.9732408325074331,0.9800399201596807,1009.0
accuracy,0.982,0.982,0.982,0.982
macro avg,0.981863830108486,0.9820934334011604,0.9819351500982141,10000.0
weighted avg,0.9820996939755458,0.982,0.9820074957224928,10000.0
