,precision,recall,f1-score,support
0,0.972027972027972,0.9928571428571429,0.9823321554770318,980.0
1,0.9834494773519163,0.9947136563876652,0.9890494962768287,1135.0
2,0.9814634146341463,0.9748062015503876,0.9781234807972776,1032.0
3,0.9849548645937813,0.9722772277227723,0.9785749875435974,1010.0
4,0.9718875502008032,0.9857433808553971,0.9787664307381193,982.0
5,0.9885974914481186,0.9719730941704036,0.9802148106274732,892.0
6,0.9935897435897436,0.9707724425887265,0.9820485744456178,958.0
7,0.9458955223880597,0.9863813229571985,0.9657142857142857,1028.0
8,0.9688796680497925,0.9589322381930184,0.9638802889576883,974.0
9,0.9796747967479674,0.9554013875123885,0.9673858504766684,1009.0
accuracy,0.9767,0.9767,0.9767,0.9767
macro avg,0.9770420501032302,0.97638580947951,0.9766090361054589,10000.0
weighted avg,0.9769120001166002,0.9767,0.9767009650916991,10000.0
